collect_time,Emergencyunlockingstatus,opendoor,openclosed,dooraction,lockswitchstate,closewtichstate,Voltage,current,Antipinchforce,speed,corner,prepra1,doorcount,opening,closing,opening_command,closing_command,label
28/10/2022 14:57:05.565,0,0,1,1,0,0,17,1523,44,0,2,1,10981,1,0,1,0,19
28/10/2022 14:57:05.575,0,0,1,1,0,0,16,354,10,148,6,1,10981,1,0,1,0,19
28/10/2022 14:57:05.586,0,0,1,1,0,0,17,855,25,122,9,1,10981,1,0,1,0,19
28/10/2022 14:57:05.595,0,0,1,1,0,0,20,645,18,129,13,1,10981,1,0,1,0,19
28/10/2022 14:57:05.607,0,0,1,1,0,0,21,579,16,147,17,1,10981,1,0,1,0,19
28/10/2022 14:57:05.617,0,0,1,1,0,0,20,743,21,154,21,1,10981,1,0,1,0,19
28/10/2022 14:57:05.627,0,0,1,1,0,0,22,853,25,151,25,1,10981,1,0,1,0,19
28/10/2022 14:57:05.637,0,0,1,1,0,0,23,639,18,160,29,1,10981,1,0,1,0,19
28/10/2022 14:57:05.648,0,0,1,1,0,0,24,760,22,163,35,1,10981,1,0,1,0,19
28/10/2022 14:57:05.658,0,0,1,1,0,0,25,868,25,170,39,1,10981,1,0,1,0,19
28/10/2022 14:57:05.668,0,0,1,1,0,0,28,624,18,176,44,1,10981,1,0,1,0,19
28/10/2022 14:57:05.68,0,0,1,1,0,0,27,801,23,185,49,1,10981,1,0,1,0,19
28/10/2022 14:57:05.691,0,0,1,1,0,0,28,829,24,189,54,1,10981,1,0,1,0,19
28/10/2022 14:57:05.7,0,0,1,1,0,0,28,744,21,219,60,1,10981,1,0,1,0,19
28/10/2022 14:57:05.71,0,0,1,1,0,0,30,606,17,214,66,1,10981,1,0,1,0,19
28/10/2022 14:57:05.721,0,0,1,1,0,0,27,2213,64,155,70,1,10981,1,0,1,0,19
28/10/2022 14:57:05.732,0,0,1,1,0,0,30,2402,70,146,75,1,10981,1,0,1,0,19
28/10/2022 14:57:05.742,0,0,1,1,0,0,29,2462,72,117,78,1,10981,1,0,1,0,19
28/10/2022 14:57:05.753,0,0,1,1,0,0,30,2757,80,128,81,1,10981,1,0,1,0,19
28/10/2022 14:57:05.763,0,0,1,1,0,1,30,2590,75,136,85,1,10981,1,0,1,0,19
28/10/2022 14:57:05.773,0,0,1,1,1,1,33,2125,62,144,89,1,10981,1,0,1,0,19
28/10/2022 14:57:05.784,0,0,1,1,1,1,33,2236,65,160,93,1,10981,1,0,1,0,19
28/10/2022 14:57:05.793,0,0,1,1,1,1,35,2080,60,165,98,1,10981,1,0,1,0,19
28/10/2022 14:57:05.805,0,0,1,1,1,1,36,1777,52,190,104,1,10981,1,0,1,0,19
28/10/2022 14:57:05.814,0,0,1,1,1,1,37,1718,50,187,109,1,10981,1,0,1,0,19
28/10/2022 14:57:05.826,0,0,1,1,1,1,39,1674,49,172,114,1,10981,1,0,1,0,19
28/10/2022 14:57:05.84,0,0,1,1,1,1,37,2338,68,169,121,1,10981,1,0,1,0,19
