collect_time,Emergencyunlockingstatus,opendoor,openclosed,dooraction,lockswitchstate,closewtichstate,Voltage,current,Antipinchforce,speed,corner,prepra1,doorcount,opening,closing,opening_command,closing_command,label
27/10/2022 13:39:08.787,0,0,1,1,0,0,14,280,8,0,2,1,10436,1,0,1,0,15
27/10/2022 13:39:08.799,0,0,1,1,0,0,19,520,15,99,5,1,10436,1,0,1,0,15
27/10/2022 13:39:08.809,0,0,1,1,0,0,17,526,15,137,9,1,10436,1,0,1,0,15
27/10/2022 13:39:08.819,0,0,1,1,0,0,19,637,18,131,12,1,10436,1,0,1,0,15
27/10/2022 13:39:08.829,0,0,1,1,0,0,20,531,15,140,16,1,10436,1,0,1,0,15
27/10/2022 13:39:08.839,0,0,1,1,0,0,20,753,22,148,20,1,10436,1,0,1,0,15
27/10/2022 13:39:08.85,0,0,1,1,0,0,22,632,18,148,24,1,10436,1,0,1,0,15
27/10/2022 13:39:08.86,0,0,1,1,0,0,22,627,18,164,28,1,10436,1,0,1,0,15
27/10/2022 13:39:08.87,0,0,1,1,0,0,23,744,21,164,32,1,10436,1,0,1,0,15
27/10/2022 13:39:08.882,0,0,1,1,0,0,25,747,21,174,37,1,10436,1,0,1,0,15
27/10/2022 13:39:08.891,0,0,1,1,0,0,26,684,20,182,42,1,10436,1,0,1,0,15
27/10/2022 13:39:08.901,0,0,1,1,0,0,27,913,26,178,47,1,10436,1,0,1,0,15
27/10/2022 13:39:08.911,0,0,1,1,0,0,27,725,21,203,52,1,10436,1,0,1,0,15
27/10/2022 13:39:08.922,0,0,1,1,0,0,27,992,29,205,58,1,10436,1,0,1,0,15
27/10/2022 13:39:08.932,0,0,1,1,0,0,28,1470,43,186,63,1,10436,1,0,1,0,15
27/10/2022 13:39:08.942,0,0,1,1,0,0,28,2459,72,110,66,1,10436,1,0,1,0,15
27/10/2022 13:39:08.953,0,0,1,1,0,0,29,2412,70,112,69,1,10436,1,0,1,0,15
27/10/2022 13:39:08.963,0,0,1,1,0,1,28,2970,87,129,72,1,10436,1,0,1,0,15
27/10/2022 13:39:08.974,0,0,1,1,0,1,27,3041,89,125,76,1,10436,1,0,1,0,15
27/10/2022 13:39:08.984,0,0,1,1,1,1,29,2793,81,131,80,1,10436,1,0,1,0,15
27/10/2022 13:39:08.995,0,0,1,1,1,1,29,3309,96,126,84,1,10436,1,0,1,0,15
27/10/2022 13:39:09.004,0,0,1,1,1,1,30,3044,89,142,87,1,10436,1,0,1,0,15
27/10/2022 13:39:09.016,0,0,1,1,1,1,29,3261,95,133,91,1,10436,1,0,1,0,15
27/10/2022 13:39:09.026,0,0,1,1,1,1,34,2627,76,126,94,1,10436,1,0,1,0,15
27/10/2022 13:39:09.036,0,0,1,1,1,1,29,3531,103,143,98,1,10436,1,0,1,0,15
27/10/2022 13:39:09.047,0,0,1,1,1,1,37,2128,62,155,103,1,10436,1,0,1,0,15
27/10/2022 13:39:09.057,0,0,1,1,1,1,38,2231,65,162,107,1,10436,1,0,1,0,15
27/10/2022 13:39:09.067,0,0,1,1,1,1,39,1929,56,184,112,1,10436,1,0,1,0,15
