collect_time,Emergencyunlockingstatus,opendoor,openclosed,dooraction,lockswitchstate,closewtichstate,Voltage,current,Antipinchforce,speed,corner,prepra1,doorcount,opening,closing,opening_command,closing_command,label
27/10/2022 14:36:47.421,0,0,0,1,1,1,13,-286,9,0,1867,0,10473,0,1,0,1,16
27/10/2022 14:36:47.432,0,0,0,1,1,1,17,-903,27,-39,1865,0,10473,0,1,0,1,16
27/10/2022 14:36:47.442,0,0,0,1,1,1,9,-2080,61,-96,1863,0,10473,0,1,0,1,16
27/10/2022 14:36:47.453,0,0,0,1,1,1,20,-676,20,-62,1861,0,10473,0,1,0,1,16
27/10/2022 14:36:47.463,0,0,0,1,1,1,15,-1986,59,-66,1859,0,10473,0,1,0,1,16
27/10/2022 14:36:47.473,0,0,0,1,1,1,18,-1967,58,-83,1857,0,10473,0,1,0,1,16
27/10/2022 14:36:47.483,0,0,0,1,1,1,23,-1268,38,-94,1854,0,10473,0,1,0,1,16
27/10/2022 14:36:47.495,0,0,0,1,1,1,23,-1653,49,-104,1851,0,10473,0,1,0,1,16
27/10/2022 14:36:47.505,0,0,0,1,1,1,25,-1578,47,-115,1848,0,10473,0,1,0,1,16
27/10/2022 14:36:47.515,0,0,0,1,1,1,27,-1237,37,-116,1845,0,10473,0,1,0,1,16
27/10/2022 14:36:47.525,0,0,0,1,1,1,28,-1525,45,-120,1842,0,10473,0,1,0,1,16
27/10/2022 14:36:47.536,0,0,0,1,1,1,27,-2022,60,-114,1839,0,10473,0,1,0,1,16
27/10/2022 14:36:47.546,0,0,0,1,1,1,27,-2579,76,-126,1836,0,10473,0,1,0,1,16
27/10/2022 14:36:47.556,0,0,0,1,1,1,31,-1993,59,-136,1832,0,10473,0,1,0,1,16
27/10/2022 14:36:47.567,0,0,0,1,1,1,31,-2021,60,-159,1828,0,10473,0,1,0,1,16
27/10/2022 14:36:47.579,0,0,0,1,1,1,36,-1295,38,-167,1822,0,10473,0,1,0,1,16
27/10/2022 14:36:47.587,0,0,0,1,1,1,35,-1594,47,-187,1818,0,10473,0,1,0,1,16
