collect_time,Emergencyunlockingstatus,opendoor,openclosed,dooraction,lockswitchstate,closewtichstate,Voltage,current,Antipinchforce,speed,corner,prepra1,doorcount,opening,closing,opening_command,closing_command,label
28/10/2022 14:44:16.057,0,0,0,1,1,1,15,-1923,57,0,1873,0,10933,0,1,0,1,19
28/10/2022 14:44:16.067,0,0,0,1,1,1,12,-2454,72,-44,1871,0,10933,0,1,0,1,19
28/10/2022 14:44:16.078,0,0,0,1,1,1,15,-1966,58,-52,1870,0,10933,0,1,0,1,19
28/10/2022 14:44:16.088,0,0,0,1,1,1,17,-2087,62,-64,1868,0,10933,0,1,0,1,19
28/10/2022 14:44:16.099,0,0,0,1,1,1,20,-1622,48,-90,1865,0,10933,0,1,0,1,19
28/10/2022 14:44:16.109,0,0,0,1,1,1,21,-1661,49,-92,1863,0,10933,0,1,0,1,19
28/10/2022 14:44:16.119,0,0,0,1,1,1,21,-2144,63,-97,1860,0,10933,0,1,0,1,19
28/10/2022 14:44:16.13,0,0,0,1,1,1,18,-2613,77,-91,1857,0,10933,0,1,0,1,19
28/10/2022 14:44:16.14,0,0,0,1,1,1,21,-2714,80,-97,1855,0,10933,0,1,0,1,19
28/10/2022 14:44:16.151,0,0,0,1,1,1,21,-2775,82,-99,1852,0,10933,0,1,0,1,19
28/10/2022 14:44:16.16,0,0,0,1,1,1,23,-2719,80,-109,1849,0,10933,0,1,0,1,19
28/10/2022 14:44:16.171,0,0,0,1,1,1,23,-3120,92,-116,1846,0,10933,0,1,0,1,19
28/10/2022 14:44:16.182,0,0,0,1,1,1,32,-2000,59,-129,1842,0,10933,0,1,0,1,19
28/10/2022 14:44:16.192,0,0,0,1,1,1,36,-1372,41,-144,1838,0,10933,0,1,0,1,19
28/10/2022 14:44:16.203,0,0,0,1,1,1,31,-2486,73,-149,1834,0,10933,0,1,0,1,19
28/10/2022 14:44:16.213,0,0,0,1,1,1,32,-2173,64,-177,1829,0,10933,0,1,0,1,19
28/10/2022 14:44:16.223,0,0,0,1,1,1,35,-2069,61,-172,1825,0,10933,0,1,0,1,19
28/10/2022 14:44:16.234,0,0,0,1,1,1,36,-1804,53,-191,1820,0,10933,0,1,0,1,19
28/10/2022 14:44:16.244,0,0,0,1,1,1,36,-1700,50,-198,1814,0,10933,0,1,0,1,19
28/10/2022 14:44:16.254,0,0,0,1,1,1,37,-1639,49,-201,1809,0,10933,0,1,0,1,19
28/10/2022 14:44:16.264,0,0,0,1,1,1,35,-2164,64,-203,1804,0,10933,0,1,0,1,19
