collect_time,Emergencyunlockingstatus,opendoor,openclosed,dooraction,lockswitchstate,closewtichstate,Voltage,current,Antipinchforce,speed,corner,prepra1,doorcount,opening,closing,opening_command,closing_command,label
27/10/2022 13:17:57.081,0,0,0,1,1,1,14,-1249,37,0,1863,0,10357,0,1,0,1,15
27/10/2022 13:17:57.091,0,0,0,1,1,1,17,-348,11,-129,1860,0,10357,0,1,0,1,15
27/10/2022 13:17:57.102,0,0,0,1,1,1,4,-1318,39,-144,1859,0,10357,0,1,0,1,15
27/10/2022 13:17:57.112,0,0,0,1,1,1,16,-520,16,-73,1857,0,10357,0,1,0,1,15
27/10/2022 13:17:57.123,0,0,0,1,1,1,14,-2249,66,-62,1856,0,10357,0,1,0,1,15
27/10/2022 13:17:57.134,0,0,0,1,1,1,21,-1527,45,-72,1853,0,10357,0,1,0,1,15
27/10/2022 13:17:57.144,0,0,0,1,1,1,20,-2197,65,-85,1851,0,10357,0,1,0,1,15
27/10/2022 13:17:57.154,0,0,0,1,1,1,26,-1147,34,-97,1848,0,10357,0,1,0,1,15
27/10/2022 13:17:57.163,0,0,0,1,1,1,19,-2715,80,-105,1846,0,10357,0,1,0,1,15
27/10/2022 13:17:57.174,0,0,0,1,1,1,23,-2190,65,-104,1843,0,10357,0,1,0,1,15
27/10/2022 13:17:57.185,0,0,0,1,1,1,26,-2168,64,-118,1839,0,10357,0,1,0,1,15
27/10/2022 13:17:57.196,0,0,0,1,1,1,23,-2953,87,-125,1836,0,10357,0,1,0,1,15
27/10/2022 13:17:57.205,0,0,0,1,1,1,32,-1627,48,-131,1832,0,10357,0,1,0,1,15
27/10/2022 13:17:57.217,0,0,0,1,1,1,29,-2462,73,-139,1828,0,10357,0,1,0,1,15
27/10/2022 13:17:57.226,0,0,0,1,1,1,33,-1868,55,-149,1824,0,10357,0,1,0,1,15
27/10/2022 13:17:57.237,0,0,0,1,1,1,33,-1849,55,-172,1820,0,10357,0,1,0,1,15
27/10/2022 13:17:57.247,0,0,0,1,1,1,35,-1457,43,-190,1814,0,10357,0,1,0,1,15
27/10/2022 13:17:57.257,0,0,0,1,1,1,35,-1691,50,-183,1809,0,10357,0,1,0,1,15
27/10/2022 13:17:57.269,0,0,0,1,1,1,35,-1830,54,-186,1804,0,10357,0,1,0,1,15
27/10/2022 13:17:57.277,0,0,0,1,1,1,37,-1262,37,-215,1799,0,10357,0,1,0,1,15
27/10/2022 13:17:57.289,0,0,0,1,1,1,37,-1449,43,-205,1792,0,10357,0,1,0,1,15
27/10/2022 13:17:57.299,0,0,0,1,1,1,37,-1036,31,-221,1786,0,10357,0,1,0,1,15
27/10/2022 13:17:57.31,0,0,0,1,1,1,38,-937,28,-221,1780,0,10357,0,1,0,1,15
27/10/2022 13:17:57.319,0,0,0,1,1,1,38,-923,28,-228,1774,0,10357,0,1,0,1,15
27/10/2022 13:17:57.33,0,0,0,1,1,1,37,-952,28,-235,1767,0,10357,0,1,0,1,15
27/10/2022 13:17:57.34,0,0,0,1,1,1,37,-753,23,-247,1761,0,10357,0,1,0,1,15
