collect_time,Emergencyunlockingstatus,opendoor,openclosed,dooraction,lockswitchstate,closewtichstate,Voltage,current,Antipinchforce,speed,corner,prepra1,doorcount,opening,closing,opening_command,closing_command,label
27/10/2022 15:00:41.139,0,0,1,1,0,0,12,1766,51,0,2,1,10562,1,0,1,0,16
27/10/2022 15:00:41.15,0,0,1,1,0,0,17,498,14,137,6,1,10562,1,0,1,0,16
27/10/2022 15:00:41.16,0,0,1,1,0,0,18,587,17,126,9,1,10562,1,0,1,0,16
27/10/2022 15:00:41.171,0,0,1,1,0,0,19,689,20,125,13,1,10562,1,0,1,0,16
27/10/2022 15:00:41.181,0,0,1,1,0,0,19,634,18,149,17,1,10562,1,0,1,0,16
27/10/2022 15:00:41.191,0,0,1,1,0,0,20,907,26,142,21,1,10562,1,0,1,0,16
27/10/2022 15:00:41.201,0,0,1,1,0,0,22,648,18,154,25,1,10562,1,0,1,0,16
27/10/2022 15:00:41.213,0,0,1,1,0,0,22,689,20,166,29,1,10562,1,0,1,0,16
27/10/2022 15:00:41.223,0,0,1,1,0,0,23,842,24,170,35,1,10562,1,0,1,0,16
27/10/2022 15:00:41.234,0,0,1,1,0,0,26,723,21,169,39,1,10562,1,0,1,0,16
27/10/2022 15:00:41.245,0,0,1,1,0,0,24,948,27,193,44,1,10562,1,0,1,0,16
27/10/2022 15:00:41.254,0,0,1,1,0,0,27,833,24,187,50,1,10562,1,0,1,0,16
27/10/2022 15:00:41.264,0,0,1,1,0,0,29,702,20,191,55,1,10562,1,0,1,0,16
27/10/2022 15:00:41.274,0,0,1,1,0,0,30,861,25,189,60,1,10562,1,0,1,0,16
27/10/2022 15:00:41.284,0,0,1,1,0,0,31,1423,41,133,64,1,10562,1,0,1,0,16
27/10/2022 15:00:41.295,0,0,1,1,0,0,22,3647,106,106,66,1,10562,1,0,1,0,16
27/10/2022 15:00:41.306,0,0,1,1,0,0,26,3418,100,104,69,1,10562,1,0,1,0,16
27/10/2022 15:00:41.317,0,0,1,1,0,0,28,2824,82,105,72,1,10562,1,0,1,0,16
27/10/2022 15:00:41.326,0,0,1,1,0,0,31,2486,72,120,76,1,10562,1,0,1,0,16
27/10/2022 15:00:41.336,0,0,1,1,0,1,32,2361,69,130,79,1,10562,1,0,1,0,16
27/10/2022 15:00:41.346,0,0,1,1,0,1,29,3237,94,132,83,1,10562,1,0,1,0,16
27/10/2022 15:00:41.357,0,0,1,1,1,1,25,4126,120,127,86,1,10562,1,0,1,0,16
27/10/2022 15:00:41.368,0,0,1,1,1,1,23,4362,127,134,89,1,10562,1,0,1,0,16
27/10/2022 15:00:41.378,0,0,1,1,1,1,27,3887,113,113,93,1,10562,1,0,1,0,16
27/10/2022 15:00:41.388,0,0,1,1,1,1,31,3113,91,134,96,1,10562,1,0,1,0,16
27/10/2022 15:00:41.398,0,0,1,1,1,1,35,2714,79,136,100,1,10562,1,0,1,0,16
27/10/2022 15:00:41.409,0,0,1,1,1,1,39,2090,61,145,105,1,10562,1,0,1,0,16
27/10/2022 15:00:41.419,0,0,1,1,1,1,32,3483,102,168,109,1,10562,1,0,1,0,16
