collect_time,Emergencyunlockingstatus,opendoor,openclosed,dooraction,lockswitchstate,closewtichstate,Voltage,current,Antipinchforce,speed,corner,prepra1,doorcount,opening,closing,opening_command,closing_command,label
4/11/2022 14:18:52.473,0,0,1,1,0,0,13,1345,39,0,1,1,11381,1,0,1,0,21
4/11/2022 14:18:52.483,0,0,1,1,0,0,19,585,17,82,4,1,11381,1,0,1,0,21
4/11/2022 14:18:52.493,0,0,1,1,0,0,17,438,12,136,8,1,11381,1,0,1,0,21
4/11/2022 14:18:52.503,0,0,1,1,0,0,20,698,20,116,11,1,11381,1,0,1,0,21
4/11/2022 14:18:52.514,0,0,1,1,0,0,20,639,18,145,15,1,11381,1,0,1,0,21
4/11/2022 14:18:52.524,0,0,1,1,0,0,20,756,22,147,19,1,11381,1,0,1,0,21
4/11/2022 14:18:52.536,0,0,1,1,0,0,22,634,18,150,23,1,11381,1,0,1,0,21
4/11/2022 14:18:52.547,0,0,1,1,0,0,23,726,21,160,28,1,11381,1,0,1,0,21
4/11/2022 14:18:52.556,0,0,1,1,0,0,24,691,20,173,33,1,11381,1,0,1,0,21
4/11/2022 14:18:52.567,0,0,1,1,0,0,25,826,24,170,38,1,11381,1,0,1,0,21
4/11/2022 14:18:52.576,0,0,1,1,0,0,26,829,24,180,42,1,11381,1,0,1,0,21
4/11/2022 14:18:52.586,0,0,1,1,0,0,27,706,20,193,47,1,11381,1,0,1,0,21
4/11/2022 14:18:52.598,0,0,1,1,0,0,28,999,29,183,52,1,11381,1,0,1,0,21
4/11/2022 14:18:52.608,0,0,1,1,0,0,27,1278,37,200,57,1,11381,1,0,1,0,21
4/11/2022 14:18:52.618,0,0,1,1,0,0,22,3044,89,136,61,1,11381,1,0,1,0,21
4/11/2022 14:18:52.628,0,0,1,1,0,0,21,3722,109,118,63,1,11381,1,0,1,0,21
4/11/2022 14:18:52.638,0,0,1,1,0,0,26,3393,99,102,66,1,11381,1,0,1,0,21
4/11/2022 14:18:52.649,0,0,1,1,0,0,27,3081,90,122,70,1,11381,1,0,1,0,21
4/11/2022 14:18:52.66,0,0,1,1,0,0,26,3649,106,106,73,1,11381,1,0,1,0,21
4/11/2022 14:18:52.67,0,0,1,1,0,0,24,3701,108,97,76,1,11381,1,0,1,0,21
4/11/2022 14:18:52.681,0,0,1,1,0,0,27,3433,100,105,79,1,11381,1,0,1,0,21
4/11/2022 14:18:52.691,0,0,1,1,1,0,24,4191,122,112,82,1,11381,1,0,1,0,21
4/11/2022 14:18:52.702,0,0,1,1,1,1,29,3565,104,110,85,1,11381,1,0,1,0,21
4/11/2022 14:18:52.712,0,0,1,1,1,1,28,3748,109,115,88,1,11381,1,0,1,0,21
4/11/2022 14:18:52.722,0,0,1,1,1,1,31,3310,96,114,92,1,11381,1,0,1,0,21
4/11/2022 14:18:52.731,0,0,1,1,1,1,37,2077,60,128,95,1,11381,1,0,1,0,21
4/11/2022 14:18:52.742,0,0,1,1,1,1,35,2829,82,123,98,1,11381,1,0,1,0,21
4/11/2022 14:18:52.754,0,0,1,1,1,1,30,4084,119,135,103,1,11381,1,0,1,0,21
4/11/2022 14:18:52.764,0,0,1,1,1,1,39,2069,60,161,107,1,11381,1,0,1,0,21
4/11/2022 14:18:52.774,0,0,1,1,1,1,35,3395,99,172,111,1,11381,1,0,1,0,21
4/11/2022 14:18:52.784,0,0,1,1,1,1,40,2518,73,178,116,1,11381,1,0,1,0,21
4/11/2022 14:18:52.794,0,0,1,1,1,1,39,2631,77,171,121,1,11381,1,0,1,0,21
4/11/2022 14:18:52.804,0,0,1,1,1,1,41,2151,63,195,126,1,11381,1,0,1,0,21
4/11/2022 14:18:52.814,0,0,1,1,1,1,42,2158,63,197,131,1,11381,1,0,1,0,21
4/11/2022 14:18:52.826,0,0,1,1,1,1,40,2629,77,210,138,1,11381,1,0,1,0,21
4/11/2022 14:18:52.836,0,0,1,1,1,1,45,1608,47,202,143,1,11381,1,0,1,0,21
4/11/2022 14:18:52.846,0,0,1,1,1,1,39,2885,84,201,148,1,11381,1,0,1,0,21
4/11/2022 14:18:52.857,0,0,1,1,1,1,39,3126,91,202,153,1,11381,1,0,1,0,21
4/11/2022 14:18:52.866,0,0,1,1,1,1,38,3388,99,201,159,1,11381,1,0,1,0,21
4/11/2022 14:18:52.877,0,0,1,1,1,1,44,2389,70,195,164,1,11381,1,0,1,0,21
4/11/2022 14:18:52.887,0,0,1,1,1,1,44,2314,67,207,170,1,11381,1,0,1,0,21
4/11/2022 14:18:52.898,0,0,1,1,1,1,43,2629,77,211,175,1,11381,1,0,1,0,21
4/11/2022 14:18:52.908,0,0,1,1,1,1,42,2563,75,219,181,1,11381,1,0,1,0,21
4/11/2022 14:18:52.918,0,0,1,1,1,1,42,2709,79,215,187,1,11381,1,0,1,0,21
4/11/2022 14:18:52.929,0,0,1,1,1,1,43,2799,82,218,195,1,11381,1,0,1,0,21
4/11/2022 14:18:52.939,0,0,1,1,1,1,41,2913,85,244,201,1,11381,1,0,1,0,21
4/11/2022 14:18:52.949,0,0,1,1,1,1,44,2609,76,226,206,1,11381,1,0,1,0,21
4/11/2022 14:18:52.961,0,0,1,1,1,1,44,2388,69,234,213,1,11381,1,0,1,0,21
4/11/2022 14:18:52.97,0,0,1,1,1,1,45,2365,69,228,219,1,11381,1,0,1,0,21
4/11/2022 14:18:52.98,0,0,1,1,1,1,46,2199,64,238,225,1,11381,1,0,1,0,21
4/11/2022 14:18:52.991,0,0,1,1,1,1,45,2317,67,242,231,1,11381,1,0,1,0,21
4/11/2022 14:18:53.001,0,0,1,1,1,1,45,2253,66,253,238,1,11381,1,0,1,0,21
4/11/2022 14:18:53.011,0,0,1,1,1,1,45,2223,65,243,245,1,11381,1,0,1,0,21
4/11/2022 14:18:53.022,0,0,1,1,1,1,45,2300,67,253,252,1,11381,1,0,1,0,21
4/11/2022 14:18:53.032,0,0,1,1,1,1,48,1777,52,239,259,1,11381,1,0,1,0,21
4/11/2022 14:18:53.043,0,0,1,1,1,1,48,1528,44,275,266,1,11381,1,0,1,0,21
4/11/2022 14:18:53.052,0,0,1,1,1,1,43,2097,61,277,274,1,11381,1,0,1,0,21
4/11/2022 14:18:53.063,0,0,1,1,1,1,49,1228,35,260,281,1,11381,1,0,1,0,21
4/11/2022 14:18:53.074,0,0,1,1,1,1,45,1623,47,286,288,1,11381,1,0,1,0,21
4/11/2022 14:18:53.084,0,0,1,1,1,1,47,1351,39,272,296,1,11381,1,0,1,0,21
4/11/2022 14:18:53.094,0,0,1,1,1,1,45,1459,42,292,303,1,11381,1,0,1,0,21
4/11/2022 14:18:53.106,0,0,1,1,1,1,46,1180,34,280,310,1,11381,1,0,1,0,21
4/11/2022 14:18:53.115,0,0,1,1,1,1,45,1369,40,287,319,1,11381,1,0,1,0,21
4/11/2022 14:18:53.126,0,0,1,1,1,1,44,1049,30,305,327,1,11381,1,0,1,0,21
4/11/2022 14:18:53.136,0,0,1,1,1,1,45,998,29,286,335,1,11381,1,0,1,0,21
4/11/2022 14:18:53.147,0,0,1,1,1,1,44,981,28,293,343,1,11381,1,0,1,0,21
4/11/2022 14:18:53.158,0,0,1,1,1,1,44,846,24,300,353,1,11381,1,0,1,0,21
