collect_time,Emergencyunlockingstatus,opendoor,openclosed,dooraction,lockswitchstate,closewtichstate,Voltage,current,Antipinchforce,speed,corner,prepra1,doorcount,opening,closing,opening_command,closing_command,label
4/11/2022 14:48:50.683,0,0,1,1,0,0,16,963,28,0,2,1,11492,1,0,1,0,21
4/11/2022 14:48:50.694,0,0,1,1,0,0,17,402,11,133,5,1,11492,1,0,1,0,21
4/11/2022 14:48:50.704,0,0,1,1,0,0,16,716,20,131,9,1,11492,1,0,1,0,21
4/11/2022 14:48:50.714,0,0,1,1,0,0,21,654,19,122,12,1,11492,1,0,1,0,21
4/11/2022 14:48:50.724,0,0,1,1,0,0,19,701,20,150,16,1,11492,1,0,1,0,21
4/11/2022 14:48:50.734,0,0,1,1,0,0,21,637,18,143,19,1,11492,1,0,1,0,21
4/11/2022 14:48:50.745,0,0,1,1,0,0,22,847,24,149,24,1,11492,1,0,1,0,21
4/11/2022 14:48:50.756,0,0,1,1,0,0,23,731,21,160,29,1,11492,1,0,1,0,21
4/11/2022 14:48:50.767,0,0,1,1,0,0,23,743,21,172,33,1,11492,1,0,1,0,21
4/11/2022 14:48:50.777,0,0,1,1,0,0,25,668,19,171,38,1,11492,1,0,1,0,21
4/11/2022 14:48:50.787,0,0,1,1,0,0,27,825,24,174,43,1,11492,1,0,1,0,21
4/11/2022 14:48:50.797,0,0,1,1,0,0,25,977,28,197,48,1,11492,1,0,1,0,21
4/11/2022 14:48:50.808,0,0,1,1,0,0,27,996,29,195,53,1,11492,1,0,1,0,21
4/11/2022 14:48:50.818,0,0,1,1,0,0,29,810,23,194,59,1,11492,1,0,1,0,21
4/11/2022 14:48:50.828,0,0,1,1,0,0,27,2449,71,129,62,1,11492,1,0,1,0,21
4/11/2022 14:48:50.839,0,0,1,1,0,0,28,2226,65,101,65,1,11492,1,0,1,0,21
4/11/2022 14:48:50.849,0,0,1,1,0,0,26,3294,96,96,67,1,11492,1,0,1,0,21
4/11/2022 14:48:50.859,0,0,1,1,0,0,26,3080,90,101,70,1,11492,1,0,1,0,21
4/11/2022 14:48:50.869,0,0,1,1,0,0,26,3434,100,98,73,1,11492,1,0,1,0,21
4/11/2022 14:48:50.88,0,0,1,1,0,0,27,3400,99,93,75,1,11492,1,0,1,0,21
4/11/2022 14:48:50.889,0,0,1,1,0,0,24,4030,118,88,77,1,11492,1,0,1,0,21
4/11/2022 14:48:50.904,0,0,1,1,1,1,28,3391,99,110,82,1,11492,1,0,1,0,21
4/11/2022 14:48:50.914,0,0,1,1,1,1,33,2670,78,118,85,1,11492,1,0,1,0,21
4/11/2022 14:48:50.925,0,0,1,1,1,1,33,2740,80,116,89,1,11492,1,0,1,0,21
