collect_time,Emergencyunlockingstatus,opendoor,openclosed,dooraction,lockswitchstate,closewtichstate,Voltage,current,Antipinchforce,speed,corner,prepra1,doorcount,opening,closing,opening_command,closing_command,label
4/11/2022 14:14:49.474,0,0,1,1,0,0,17,901,26,0,2,1,11366,1,0,1,0,21
4/11/2022 14:14:49.485,0,0,1,1,0,0,17,395,11,131,5,1,11366,1,0,1,0,21
4/11/2022 14:14:49.494,0,0,1,1,0,0,16,733,21,136,8,1,11366,1,0,1,0,21
4/11/2022 14:14:49.506,0,0,1,1,0,0,20,697,20,120,12,1,11366,1,0,1,0,21
4/11/2022 14:14:49.516,0,0,1,1,0,0,19,702,20,149,16,1,11366,1,0,1,0,21
4/11/2022 14:14:49.527,0,0,1,1,0,0,19,819,24,158,20,1,11366,1,0,1,0,21
4/11/2022 14:14:49.537,0,0,1,1,0,0,22,948,27,149,24,1,11366,1,0,1,0,21
4/11/2022 14:14:49.547,0,0,1,1,0,0,23,644,18,159,29,1,11366,1,0,1,0,21
4/11/2022 14:14:49.556,0,0,1,1,0,0,24,676,19,174,33,1,11366,1,0,1,0,21
4/11/2022 14:14:49.567,0,0,1,1,0,0,25,665,19,170,38,1,11366,1,0,1,0,21
4/11/2022 14:14:49.578,0,0,1,1,0,0,26,763,22,178,42,1,11366,1,0,1,0,21
4/11/2022 14:14:49.589,0,0,1,1,0,0,26,955,27,197,48,1,11366,1,0,1,0,21
4/11/2022 14:14:49.6,0,0,1,1,0,0,27,955,27,196,53,1,11366,1,0,1,0,21
4/11/2022 14:14:49.61,0,0,1,1,0,0,30,747,21,195,59,1,11366,1,0,1,0,21
4/11/2022 14:14:49.62,0,0,1,1,0,0,28,2119,62,139,63,1,11366,1,0,1,0,21
4/11/2022 14:14:49.631,0,0,1,1,0,0,30,2040,59,105,66,1,11366,1,0,1,0,21
4/11/2022 14:14:49.641,0,0,1,1,0,0,30,2522,73,114,69,1,11366,1,0,1,0,21
4/11/2022 14:14:49.65,0,0,1,1,0,0,29,2584,75,106,72,1,11366,1,0,1,0,21
4/11/2022 14:14:49.661,0,0,1,1,0,0,27,3386,99,94,74,1,11366,1,0,1,0,21
4/11/2022 14:14:49.672,0,0,1,1,0,0,29,2762,80,98,77,1,11366,1,0,1,0,21
4/11/2022 14:14:49.682,0,0,1,1,0,0,32,2419,70,121,80,1,11366,1,0,1,0,21
4/11/2022 14:14:49.692,0,0,1,1,1,0,30,3004,88,119,83,1,11366,1,0,1,0,21
4/11/2022 14:14:49.702,0,0,1,1,1,1,30,3312,97,129,87,1,11366,1,0,1,0,21
