collect_time,Emergencyunlockingstatus,opendoor,openclosed,dooraction,lockswitchstate,closewtichstate,Voltage,current,Antipinchforce,speed,corner,prepra1,doorcount,opening,closing,opening_command,closing_command,label
27/10/2022 16:36:00.118,0,0,1,1,0,0,14,1066,31,0,2,1,10765,1,0,1,0,18
27/10/2022 16:36:00.129,0,0,1,1,0,0,17,351,10,139,6,1,10765,1,0,1,0,18
27/10/2022 16:36:00.14,0,0,1,1,0,0,17,620,18,124,9,1,10765,1,0,1,0,18
27/10/2022 16:36:00.15,0,0,1,1,0,0,19,718,21,127,12,1,10765,1,0,1,0,18
27/10/2022 16:36:00.161,0,0,1,1,0,0,20,619,18,142,16,1,10765,1,0,1,0,18
27/10/2022 16:36:00.171,0,0,1,1,0,0,21,625,18,155,20,1,10765,1,0,1,0,18
27/10/2022 16:36:00.182,0,0,1,1,0,0,23,575,16,151,25,1,10765,1,0,1,0,18
27/10/2022 16:36:00.191,0,0,1,1,0,0,23,774,22,160,29,1,10765,1,0,1,0,18
27/10/2022 16:36:00.202,0,0,1,1,0,0,22,911,26,171,34,1,10765,1,0,1,0,18
27/10/2022 16:36:00.212,0,0,1,1,0,0,24,697,20,179,38,1,10765,1,0,1,0,18
27/10/2022 16:36:00.222,0,0,1,1,0,0,26,837,24,176,43,1,10765,1,0,1,0,18
27/10/2022 16:36:00.235,0,0,1,1,0,0,27,793,23,185,49,1,10765,1,0,1,0,18
27/10/2022 16:36:00.244,0,0,1,1,0,0,29,924,27,186,54,1,10765,1,0,1,0,18
27/10/2022 16:36:00.255,0,0,1,1,0,0,29,852,24,201,60,1,10765,1,0,1,0,18
27/10/2022 16:36:00.264,0,0,1,1,0,0,25,2572,75,149,63,1,10765,1,0,1,0,18
27/10/2022 16:36:00.275,0,0,1,1,0,0,27,2858,83,116,66,1,10765,1,0,1,0,18
27/10/2022 16:36:00.285,0,0,1,1,0,0,25,3498,102,119,70,1,10765,1,0,1,0,18
27/10/2022 16:36:00.295,0,0,1,1,0,0,25,3751,109,113,73,1,10765,1,0,1,0,18
27/10/2022 16:36:00.305,0,0,1,1,0,0,26,3345,98,106,75,1,10765,1,0,1,0,18
27/10/2022 16:36:00.316,0,0,1,1,0,0,28,3397,99,92,78,1,10765,1,0,1,0,18
27/10/2022 16:36:00.326,0,0,1,1,0,0,26,3726,109,112,81,1,10765,1,0,1,0,18
27/10/2022 16:36:00.336,0,0,1,1,1,1,31,3176,93,106,84,1,10765,1,0,1,0,18
27/10/2022 16:36:00.347,0,0,1,1,1,1,27,3490,102,134,88,1,10765,1,0,1,0,18
27/10/2022 16:36:00.357,0,0,1,1,1,1,32,3007,88,132,92,1,10765,1,0,1,0,18
27/10/2022 16:36:00.368,0,0,1,1,1,1,34,2599,76,139,95,1,10765,1,0,1,0,18
27/10/2022 16:36:00.378,0,0,1,1,1,1,33,3030,88,142,99,1,10765,1,0,1,0,18
27/10/2022 16:36:00.389,0,0,1,1,1,1,31,3793,111,140,103,1,10765,1,0,1,0,18
27/10/2022 16:36:00.399,0,0,1,1,1,1,37,2344,68,158,108,1,10765,1,0,1,0,18
27/10/2022 16:36:00.409,0,0,1,1,1,1,36,2762,80,167,112,1,10765,1,0,1,0,18
27/10/2022 16:36:00.419,0,0,1,1,1,1,40,2207,64,193,117,1,10765,1,0,1,0,18
27/10/2022 16:36:00.431,0,0,1,1,1,1,41,2237,65,178,122,1,10765,1,0,1,0,18
27/10/2022 16:36:00.442,0,0,1,1,1,1,35,3293,96,177,127,1,10765,1,0,1,0,18
27/10/2022 16:36:00.451,0,0,1,1,1,1,41,2301,67,190,132,1,10765,1,0,1,0,18
27/10/2022 16:36:00.461,0,0,1,1,1,1,43,1779,52,210,138,1,10765,1,0,1,0,18
27/10/2022 16:36:00.47,0,0,1,1,1,1,44,1568,45,217,143,1,10765,1,0,1,0,18
27/10/2022 16:36:00.482,0,0,1,1,1,1,44,1660,48,236,150,1,10765,1,0,1,0,18
27/10/2022 16:36:00.492,0,0,1,1,1,1,45,1510,44,218,156,1,10765,1,0,1,0,18
27/10/2022 16:36:00.502,0,0,1,1,1,1,42,2413,70,200,162,1,10765,1,0,1,0,18
27/10/2022 16:36:00.512,0,0,1,1,1,1,45,1832,53,215,167,1,10765,1,0,1,0,18
27/10/2022 16:36:00.523,0,0,1,1,1,1,44,1768,51,221,173,1,10765,1,0,1,0,18
27/10/2022 16:36:00.535,0,0,1,1,1,1,40,2449,71,249,180,1,10765,1,0,1,0,18
27/10/2022 16:36:00.544,0,0,1,1,1,1,46,1755,51,226,186,1,10765,1,0,1,0,18
27/10/2022 16:36:00.556,0,0,1,1,1,1,45,1960,57,216,192,1,10765,1,0,1,0,18
27/10/2022 16:36:00.565,0,0,1,1,1,1,45,1923,56,228,198,1,10765,1,0,1,0,18
27/10/2022 16:36:00.575,0,0,1,1,1,1,44,1912,56,225,204,1,10765,1,0,1,0,18
27/10/2022 16:36:00.586,0,0,1,1,1,1,37,3129,91,237,211,1,10765,1,0,1,0,18
27/10/2022 16:36:00.597,0,0,1,1,1,1,38,3123,91,228,217,1,10765,1,0,1,0,18
27/10/2022 16:36:00.606,0,0,1,1,1,1,43,2449,71,227,223,1,10765,1,0,1,0,18
27/10/2022 16:36:00.617,0,0,1,1,1,1,45,1972,57,224,229,1,10765,1,0,1,0,18
27/10/2022 16:36:00.628,0,0,1,1,1,1,45,1849,54,238,236,1,10765,1,0,1,0,18
27/10/2022 16:36:00.637,0,0,1,1,1,1,45,1775,52,258,243,1,10765,1,0,1,0,18
27/10/2022 16:36:00.648,0,0,1,1,1,1,45,1737,50,248,249,1,10765,1,0,1,0,18
27/10/2022 16:36:00.658,0,0,1,1,1,1,44,2008,58,253,256,1,10765,1,0,1,0,18
27/10/2022 16:36:00.668,0,0,1,1,1,1,43,2405,70,241,262,1,10765,1,0,1,0,18
27/10/2022 16:36:00.679,0,0,1,1,1,1,42,1906,55,283,270,1,10765,1,0,1,0,18
